Estimated radiative forcings from individual components: 
  2) volcanic aerosols (two reconstructions)

Values are nominally adjusted forcings (W/m2) at the TOA, but specific
calulations using GCMs may give somewhat different results. The
baseline for each calculations is noted below. 

Sources, and calculation methodology from Schmidt et al (2010)
"Climate forcing reconstructions for use in PMIP simulations of the
Last Millennium (version 1.0)".
GRA: based on Gao, Robock and Ammmann
CEA: Based on Crowley et al

    GRA             CEA
1458 -0.00275284    -1.77763	    
1459 0		    -1.17868	    
1460 -1.40091	    -0.948181	    
1461 -0.931844	    -0.171528	    
1462 -0.17855	    -0.0378056	    
1463 -0.030779	    -0.235542	    
1464 -0.00517082    -0.309569	    
1465 -0.00035644    -0.0690417	    
1466 0		    -0.0151944	    
1467 0		    -0.0417222	    
1468 0		    -0.0367222	    
1469 0		    -0.00818056    
1470 0		    -0.00168056    
1471 0		    -0.161667	    
1472 0		    -0.0483611	    
1473 0		    -0.0107917	    
1474 0		    -0.271347	    
1475 -0.336864	    -0.0850833	    
1476 -0.180199	    -0.0189583	    
1477 -1.05671	    -0.00265278    
1478 -0.551232	    0		    
1479 -0.104006	    0		    
1480 -0.017865	    -0.223111	    
1481 -0.602614	    -0.292208	    
1482 -0.209155	    -0.161125	    
1483 -0.0384399	    -0.0407917	    
1484 -0.00656193    -0.00590278    
1485 -0.00109958    -0.000708333   
1486 0		    0		    
1487 0		    0		    
1488 0		    0		    
1489 0		    -0.161667	    
1490 0		    -0.0483611	    
1491 0		    -0.0107917	    
1492 0		    -0.00144444    
1493 0		    -0.208264	    
1494 0		    -0.271333	    
1495 0		    -0.0605694	    
1496 0		    -0.0133194	    
1497 0		    -0.147625	    
1498 0		    -0.0438889	    
1499 0		    -0.00979167    
1500 0		    -0.00130556    
1501 0		    0		    
1502 0		    0		    
1503 0		    -0.198819	    
1504 -0.110026	    -0.0614444	    
1505 -0.0731859	    -0.161389	    
1506 -0.0140232	    -0.167125	    
1507 -0.00241731    -0.0445833	    
1508 -0.000406154   -0.423028	    
1509 -2.7952e-05    -0.243083	    
1510 0		    -0.0540139	    
1511 0		    -0.0101806	    
1512 0		    0		    
1513 -0.271227	    0		    
1514 -0.180412	    0		    
1515 -0.0345687	    -0.326917	    
1516 -0.00595902    -0.104028	    
1517 -0.0010011	    -0.0231806	    
1518 -6.90035e-05   -0.00323611    
1519 0		    0		    
1520 0		    -0.0711944	    
1521 0		    -0.152319	    
1522 0		    -0.0434861	    
1523 0		    -0.0759167	    
1524 0		    -0.161417	    
1525 0		    -0.180556	    
1526 0		    -0.502889	    
1527 -0.226449	    -0.1145	    
1528 -0.150627	    -0.05325	    
1529 -0.0288614	    -0.00811111    
1530 -0.00497524    -0.0680972	    
1531 -0.000835773   -0.0174306	    
1532 -5.76059e-05   -0.003875	    
1533 0		    -0.0387917	    
1534 0		    -0.00905556    
1535 -0.310356	    -0.002	    
1536 -0.271734	    -0.136944	    
1537 -0.0507705	    -0.283222	    
1538 -0.00870643    -0.063375	    
1539 -0.00146064    -0.0281111	    
1540 -0.00015829    -0.00356944    
1541 0		    -0.00075	    
1542 0		    -0.227347	    
1543 0		    -0.0709722	    
1544 0		    -0.0158194	    
1545 0		    -0.00219444    
1546 0		    0		    
1547 0		    0		    
1548 0		    0		    
1549 0		    0		    
1550 0		    0		    
1551 0		    0		    
1552 0		    0		    
1553 0		    -0.244861	    
1554 0		    -0.555375	    
1555 0		    -0.245986	    
1556 0		    -0.062625	    
1557 0		    -0.00869444    
1558 0		    -0.001	    
1559 0		    0		    
1560 0		    0		    
1561 0		    -0.605431	    
1562 0		    -0.200444	    
1563 0		    -0.371625	    
1564 0		    -0.110583	    
1565 0		    -0.0231806	    
1566 0		    -0.00323611    
1567 0		    -0.246264	    
1568 0		    -0.141181	    
1569 0		    -0.0315278	    
1570 0		    -0.218931	    
1571 0		    -0.307611	    
1572 0		    -0.174208	    
1573 0		    -0.294806	    
1574 0		    -0.0651528	    
1575 0		    -0.458625	    
1576 0		    -1.06792	    
1577 0		    -0.387694	    
1578 0		    -0.405139	    
1579 0		    -0.130792	    
1580 0		    -0.242833	    
1581 0		    -0.0641806	    
1582 0		    -0.0137639	    
1583 0		    -0.214792	    
1584 0		    -0.0661667	    
1585 -1.54804	    -1.05844	    
1586 -1.02971	    -0.363569	    
1587 -0.197302	    -0.0806528	    
1588 -0.0340115	    -0.300694	    
1589 -0.00571386    -0.0914167	    
1590 -0.000393897   -0.0204028	    
1591 0		    -0.201667	    
1592 0		    -0.0614444	    
1593 0		    -0.387306	    
1594 -0.967977	    -1.36651	    
1595 -0.517802	    -0.557319	    
1596 -0.0943104	    -0.418	    
1597 -0.0160706	    -0.141583	    
1598 -0.0026917	    -0.0289306	    
1599 -0.00020816    -0.00206944    
1600 0		    -2.93875	    
1601 -4.76422	    -2.63657	    
1602 -1.93677	    -1.00775	    
1603 -0.357171	    -0.370694	    
1604 -0.0610235	    -0.130694	    
1605 -0.0102283	    0		    
1606 -0.000275107   0		    
1607 0		    -0.253944	    
1608 0		    -0.0814444	    
1609 0		    -0.0181528	    
1610 0		    -0.128444	    
1611 0		    -0.03625	    
1612 0		    -0.00808333    
1613 0		    -0.103903	    
1614 0		    -0.275278	    
1615 0		    -0.0837083	    
1616 0		    -0.0180417	    
1617 0		    -0.00240278    
1618 0		    0		    
1619 0		    0		    
1620 -0.530663	    0		    
1621 -0.283868	    -0.501903	    
1622 -0.0517028	    -0.654889	    
1623 -0.00881024    -0.146111	    
1624 -0.00147575    -0.0320556	    
1625 -0.000114093   0		    
1626 0		    -0.08225	    
1627 0		    -0.0222083	    
1628 0		    -0.00497222    
1629 0		    -0.000611111   
1630 0		    -0.203528	    
1631 0		    -0.0630278	    
1632 0		    -0.0140417	    
1633 0		    -0.00197222    
1634 0		    0		    
1635 0		    0		    
1636 0		    0		    
1637 0		    0		    
1638 0		    0		    
1639 0		    0		    
1640 0		    -0.439944	    
1641 0		    -3.13796	    
1642 -4.95958	    -2.01796	    
1643 -1.60448	    -0.7235	    
1644 -0.290778	    -0.255833	    
1645 -0.0494718	    -0.53175	    
1646 -0.00828274    -0.146222	    
1647 0		    -0.0325972	    
1648 0		    -0.00473611    
1649 0		    0		    
1650 0		    0		    
1651 0		    0		    
1652 0		    0		    
1653 0		    0		    
1654 0		    0		    
1655 0		    0		    
1656 0		    0		    
1657 0		    0		    
1658 0		    0		    
1659 0		    0		    
1660 0		    0		    
1661 0		    0		    
1662 0		    -0.260486	    
1663 0		    -0.0819444	    
1664 0		    -0.0183194	    
1665 0		    -0.00256944    
1666 0		    0		    
1667 0		    -0.341153	    
1668 0		    -0.950819	    
1669 0		    -0.221792	    
1670 0		    -0.0494583	    
1671 0		    -0.00218056    
1672 0		    0		    
1673 0		    -1.39046	    
1674 -1.2549	    -2.56839	    
1675 -0.911779	    -0.970972	    
1676 -0.171321	    -0.357194	    
1677 -0.0294098	    -0.130514	    
1678 -0.00493565    -0.0153333	    
1679 -0.000451756   0		    
1680 0		    -0.417806	    
1681 0		    -0.3655	    
1682 0		    -0.134417	    
1683 0		    -0.0495278	    
1684 0		    -0.0173194	    
1685 0		    0		    
1686 0		    -0.118542	    
1687 0		    -0.0666667	    
1688 0		    -0.0384583	    
1689 0		    -0.0123056	    
1690 0		    -0.003375	    
1691 0		    -6.94444e-05   
1692 0		    0		    
1693 0		    0		    
1694 -2.17892	    -2.10775	    
1695 -1.90777	    -3.163	    
1696 -0.356446	    -3.41579	    
1697 -0.0611257	    -1.50754	    
1698 -0.0102551	    -0.653389	    
1699 -0.00111117    -0.181069	    
1700 0		    -0.0821111	    
1701 0		    -0.00995833    
1702 0		    -0.0403889	    
1703 0		    -0.00920833    
1704 0		    -0.109472	    
1705 0		    -0.0306111	    
1706 0		    -0.0890556	    
1707 0		    -0.0230694	    
1708 0		    -0.00497222    
1709 0		    -0.000611111   
1710 0		    0		    
1711 0		    0		    
1712 -0.391655	    0		    
1713 -0.209509	    0		    
1714 -0.0381593	    0		    
1715 -0.00650231    -0.0139722	    
1716 -0.00108903    -0.00325	    
1717 -8.42339e-05   -0.00075	    
1718 0		    -6.94444e-05   
1719 0		    0		    
1720 -2.01501	    -0.102875	    
1721 -1.34032	    -0.0290278	    
1722 -0.256819	    -0.00648611    
1723 -0.0442712	    -0.0507778	    
1724 -0.00743752    -0.0122778	    
1725 -0.000512677   -0.00276389    
1726 0		    -0.000277778   
1727 0		    0		    
1728 0		    0		    
1729 0		    0		    
1730 -0.371244	    0		    
1731 -0.833856	    -0.48925	    
1732 -0.173609	    -0.161056	    
1733 -0.030493	    -0.0359306	    
1734 -0.00514744    -0.00526389    
1735 -0.000663448   0		    
1736 0		    0		    
1737 0		    0		    
1738 0		    0		    
